,-1085.6939503914625,99.6339008875917
2007/08/31/afternoon,-23.232012032401755,14.114857519472253
2007/09/03/morning,Infinity,Infinity
2007/09/03/afternoon,Infinity,Infinity
2007/09/04/morning,Infinity,Infinity
2007/09/04/afternoon,Infinity,Infinity
2007/09/05/morning,Infinity,Infinity
2007/09/05/afternoon,Infinity,Infinity
2007/09/06/morning,64.07693808596768,10.617866380360416
2007/09/06/afternoon,68.68252558112995,11.102926649149966
2007/09/07/morning,160.37337686873505,62.34802140964882
2007/09/07/afternoon,64.9853918451945,112.89593113187541
2007/09/10/morning,136.60745918857992,99.76809442576152
2007/09/10/afternoon,55.577454242717714,75.20954173653719
2007/09/11/morning,68.34376142428789,37.04976690395295
2007/09/11/afternoon,78.0490692583662,20.330935091323283
2007/09/12/morning,Infinity,Infinity
2007/09/12/afternoon,23.896074653882955,81.11766625619254
2007/09/13/morning,67282.85986780736,6037.283750700371
2007/09/13/afternoon,45.08212450031075,145.20038062277766
2007/09/14/morning,-103.03967461502668,22.929970363572693
2007/09/14/afternoon,-182.0566575199377,25.6493008627115
2007/09/18/morning,-329.7355197482644,-110.29093783868679
2007/09/18/afternoon,-325.13746041437935,-270.9860743487433
2007/09/19/morning,-236.07947285161777,-372.38974392724595
2007/09/19/afternoon,-149.16574476184175,25.96150264298035
2007/09/20/morning,16.42663551828514,-95.69020990841675
2007/09/20/afternoon,-312.50776393947615,32.279665602960705
2007/09/21/morning,-224.49267830914184,-538.410750758848
2007/09/21/afternoon,-577.6527449808389,-371.87884372492357
2007/09/25/morning,-615.4595074635927,-274.21503446028873
2007/09/25/afternoon,-235.67950101082886,26.02818298668808
2007/09/26/morning,-416.15976204869645,-443.4198310044423
2007/09/26/afternoon,-313.8197638499419,58.31963456745552
2007/09/27/morning,-157.01382720479182,34.67174851425625
2007/09/27/afternoon,-60.99718435473844,24.05768391173615
2007/09/28/morning,14.321846838664214,-75.50701761473539
2007/09/28/afternoon,25.711094459383986,-303.68425485048914
2007/10/01/morning,-330.9131877305588,-613.1357245880256
2007/10/01/afternoon,-303.0148065882567,-268.6572846190366
2007/10/02/morning,-972.2826552947037,-260.2736920983541
